model,features,accuracy,precision,recall,fold,dataset
SVC,emotion,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,vignettes_mccurrie
KNeighborsClassifier,emotion,0.4615384615384616,0.4615384615384616,0.4615384615384616,1,vignettes_mccurrie
GaussianNB,emotion,0.4615384615384616,0.4615384615384616,0.4615384615384616,1,vignettes_mccurrie
LogisticRegression,emotion,0.38461538461538464,0.38461538461538464,0.38461538461538464,1,vignettes_mccurrie
SVC,emotion,0.38461538461538464,0.38461538461538464,0.38461538461538464,1,vignettes_mccurrie
KNeighborsClassifier,emotion,0.2307692307692308,0.2307692307692308,0.2307692307692308,2,vignettes_mccurrie
GaussianNB,emotion,0.2307692307692308,0.2307692307692308,0.2307692307692308,2,vignettes_mccurrie
LogisticRegression,emotion,0.2307692307692308,0.2307692307692308,0.2307692307692308,2,vignettes_mccurrie
SVC,emotion,0.38461538461538464,0.38461538461538464,0.38461538461538464,2,vignettes_mccurrie
KNeighborsClassifier,emotion,0.5,0.5,0.5,3,vignettes_mccurrie
GaussianNB,emotion,0.4166666666666667,0.4166666666666667,0.4166666666666667,3,vignettes_mccurrie
LogisticRegression,emotion,0.4166666666666667,0.4166666666666667,0.4166666666666667,3,vignettes_mccurrie
SVC,emotion,0.5,0.5,0.5,3,vignettes_mccurrie
KNeighborsClassifier,emotion,0.08333333333333333,0.08333333333333333,0.08333333333333333,4,vignettes_mccurrie
GaussianNB,emotion,0.16666666666666666,0.16666666666666666,0.16666666666666666,4,vignettes_mccurrie
LogisticRegression,emotion,0.25,0.25,0.25,4,vignettes_mccurrie
SVC,emotion,0.08333333333333333,0.08333333333333333,0.08333333333333333,4,vignettes_mccurrie
KNeighborsClassifier,emotion,0.3,0.3,0.3,0,vignettes_clifford
GaussianNB,emotion,0.3,0.3,0.3,0,vignettes_clifford
LogisticRegression,emotion,0.2,0.2,0.2,0,vignettes_clifford
SVC,emotion,0.35,0.35,0.35,0,vignettes_clifford
KNeighborsClassifier,emotion,0.15,0.15,0.15,1,vignettes_clifford
GaussianNB,emotion,0.3,0.3,0.3,1,vignettes_clifford
LogisticRegression,emotion,0.25,0.25,0.25,1,vignettes_clifford
SVC,emotion,0.3,0.3,0.3,1,vignettes_clifford
KNeighborsClassifier,emotion,0.05,0.05,0.05,2,vignettes_clifford
GaussianNB,emotion,0.1,0.1,0.1,2,vignettes_clifford
LogisticRegression,emotion,0.15,0.15,0.15,2,vignettes_clifford
SVC,emotion,0.15,0.15,0.15,2,vignettes_clifford
KNeighborsClassifier,emotion,0.1,0.1,0.1,3,vignettes_clifford
GaussianNB,emotion,0.1,0.1,0.1,3,vignettes_clifford
LogisticRegression,emotion,0.25,0.25,0.25,3,vignettes_clifford
SVC,emotion,0.3,0.3,0.3,3,vignettes_clifford
KNeighborsClassifier,emotion,0.15789473684210525,0.15789473684210525,0.15789473684210525,4,vignettes_clifford
GaussianNB,emotion,0.10526315789473684,0.10526315789473684,0.10526315789473684,4,vignettes_clifford
LogisticRegression,emotion,0.3157894736842105,0.3157894736842105,0.3157894736842105,4,vignettes_clifford
SVC,emotion,0.2631578947368421,0.2631578947368421,0.2631578947368421,4,vignettes_clifford
KNeighborsClassifier,reasoning,0.14,0.14,0.14,0,vignettes_chadwick
GaussianNB,reasoning,0.12,0.12,0.12,0,vignettes_chadwick
LogisticRegression,reasoning,0.09,0.09,0.09,0,vignettes_chadwick
SVC,reasoning,0.09,0.09,0.09,0,vignettes_chadwick
KNeighborsClassifier,reasoning,0.06,0.06,0.06,1,vignettes_chadwick
GaussianNB,reasoning,0.07,0.07,0.07,1,vignettes_chadwick
LogisticRegression,reasoning,0.08,0.08,0.08,1,vignettes_chadwick
SVC,reasoning,0.06,0.06,0.06,1,vignettes_chadwick
KNeighborsClassifier,reasoning,0.09,0.09,0.09,2,vignettes_chadwick
GaussianNB,reasoning,0.06,0.06,0.06,2,vignettes_chadwick
LogisticRegression,reasoning,0.08,0.08,0.08,2,vignettes_chadwick
SVC,reasoning,0.05,0.05,0.05,2,vignettes_chadwick
KNeighborsClassifier,reasoning,0.14,0.14,0.14,3,vignettes_chadwick
GaussianNB,reasoning,0.18,0.18,0.18,3,vignettes_chadwick
LogisticRegression,reasoning,0.09,0.09,0.09,3,vignettes_chadwick
SVC,reasoning,0.08,0.08,0.08,3,vignettes_chadwick
KNeighborsClassifier,reasoning,0.12,0.12,0.12,4,vignettes_chadwick
GaussianNB,reasoning,0.14,0.14,0.14,4,vignettes_chadwick
LogisticRegression,reasoning,0.08,0.08,0.08,4,vignettes_chadwick
SVC,reasoning,0.07,0.07,0.07,4,vignettes_chadwick
KNeighborsClassifier,reasoning,0.38461538461538464,0.38461538461538464,0.38461538461538464,0,vignettes_mccurrie
GaussianNB,reasoning,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
LogisticRegression,reasoning,0.3076923076923077,0.3076923076923077,0.3076923076923077,0,vignettes_mccurrie
SVC,reasoning,0.3076923076923077,0.3076923076923077,0.3076923076923077,0,vignettes_mccurrie
KNeighborsClassifier,reasoning,0.2307692307692308,0.2307692307692308,0.2307692307692308,1,vignettes_mccurrie
GaussianNB,reasoning,0.5384615384615384,0.5384615384615384,0.5384615384615384,1,vignettes_mccurrie
LogisticRegression,reasoning,0.38461538461538464,0.38461538461538464,0.38461538461538464,1,vignettes_mccurrie
SVC,reasoning,0.38461538461538464,0.38461538461538464,0.38461538461538464,1,vignettes_mccurrie
KNeighborsClassifier,reasoning,0.38461538461538464,0.38461538461538464,0.38461538461538464,2,vignettes_mccurrie
GaussianNB,reasoning,0.2307692307692308,0.2307692307692308,0.2307692307692308,2,vignettes_mccurrie
LogisticRegression,reasoning,0.5384615384615384,0.5384615384615384,0.5384615384615384,2,vignettes_mccurrie
SVC,reasoning,0.5384615384615384,0.5384615384615384,0.5384615384615384,2,vignettes_mccurrie
KNeighborsClassifier,reasoning,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,vignettes_mccurrie
GaussianNB,reasoning,0.25,0.25,0.25,3,vignettes_mccurrie
LogisticRegression,reasoning,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,vignettes_mccurrie
SVC,reasoning,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,vignettes_mccurrie
KNeighborsClassifier,reasoning,0.25,0.25,0.25,4,vignettes_mccurrie
GaussianNB,reasoning,0.16666666666666666,0.16666666666666666,0.16666666666666666,4,vignettes_mccurrie
LogisticRegression,reasoning,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
SVC,reasoning,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,vignettes_mccurrie
KNeighborsClassifier,reasoning,0.45,0.45,0.45,0,vignettes_clifford
GaussianNB,reasoning,0.25,0.25,0.25,0,vignettes_clifford
LogisticRegression,reasoning,0.35,0.35,0.35,0,vignettes_clifford
SVC,reasoning,0.35,0.35,0.35,0,vignettes_clifford
